user_id,car_type,color,engine,alloys,sunroof,spoiler,interior,budget_million_pkr,final_price_million_pkr
1,SUV,Black,Hybrid,Yes,Yes,No,Premium,8,9.2
2,Sports,Red,Petrol,Yes,No,Yes,Sport,12,13.5
3,Sedan,White,Electric,No,Yes,No,Luxury,6,7.8
4,SUV,White,Diesel,Yes,Yes,No,Standard,7,8.4
5,Sports,Black,Petrol,Yes,No,Yes,Sport,13,14.2
6,Sedan,Silver,Hybrid,No,Yes,No,Premium,5,6.5
7,SUV,Blue,Electric,Yes,Yes,No,Luxury,10,11.8
8,Sports,Yellow,Petrol,Yes,No,Yes,Sport,14,15.6
9,Sedan,Black,Petrol,No,No,No,Standard,4,4.8
10,SUV,Grey,Hybrid,Yes,Yes,No,Premium,9,10.1
11,Sports,Red,Electric,Yes,No,Yes,Luxury,15,16.7
12,Sedan,White,Hybrid,No,Yes,No,Premium,5,6.7
13,SUV,Black,Diesel,Yes,Yes,No,Premium,8,9.4
14,Sports,Blue,Petrol,Yes,No,Yes,Sport,12,13.1
15,Sedan,Silver,Electric,No,Yes,No,Luxury,7,8.6
16,SUV,White,Hybrid,Yes,Yes,No,Premium,9,10.3
17,Sports,Black,Petrol,Yes,No,Yes,Sport,14,15.1
18,Sedan,Grey,Petrol,No,No,No,Standard,4,5.1
19,SUV,Blue,Diesel,Yes,Yes,No,Premium,8,9.0
20,Sports,Red,Hybrid,Yes,No,Yes,Luxury,13,14.8
21,Sedan,White,Petrol,No,Yes,No,Premium,5,6.2
22,SUV,Black,Electric,Yes,Yes,No,Luxury,11,12.9
23,Sports,Yellow,Petrol,Yes,No,Yes,Sport,15,16.3
24,Sedan,Silver,Hybrid,No,Yes,No,Premium,6,7.0
25,SUV,Grey,Diesel,Yes,Yes,No,Standard,7,8.1
26,Sports,Blue,Electric,Yes,No,Yes,Luxury,14,15.9
27,Sedan,Black,Petrol,No,No,No,Standard,4,4.9
28,SUV,White,Hybrid,Yes,Yes,No,Premium,9,10.5
29,Sports,Red,Petrol,Yes,No,Yes,Sport,13,14.4
30,Sedan,Grey,Electric,No,Yes,No,Luxury,7,8.3
31,SUV,Black,Hybrid,Yes,Yes,No,Premium,8,9.3
32,Sports,Red,Petrol,Yes,No,Yes,Sport,13,14.1
33,Sedan,White,Electric,No,Yes,No,Luxury,6,7.9
34,SUV,Blue,Diesel,Yes,Yes,No,Premium,8,9.1
35,Sports,Black,Petrol,Yes,No,Yes,Sport,14,15.3
36,Sedan,Silver,Hybrid,No,Yes,No,Premium,5,6.6
37,SUV,Grey,Electric,Yes,Yes,No,Luxury,10,11.9
38,Sports,Yellow,Petrol,Yes,No,Yes,Sport,15,16.5
39,Sedan,Black,Petrol,No,No,No,Standard,4,5.0
40,SUV,White,Hybrid,Yes,Yes,No,Premium,9,10.2
41,Sports,Red,Electric,Yes,No,Yes,Luxury,15,16.8
42,Sedan,Blue,Hybrid,No,Yes,No,Premium,6,7.1
43,SUV,Black,Diesel,Yes,Yes,No,Premium,8,9.5
44,Sports,Silver,Petrol,Yes,No,Yes,Sport,12,13.2
45,Sedan,White,Electric,No,Yes,No,Luxury,7,8.5
46,SUV,Grey,Hybrid,Yes,Yes,No,Premium,9,10.4
47,Sports,Black,Petrol,Yes,No,Yes,Sport,14,15.0
48,Sedan,Silver,Petrol,No,No,No,Standard,4,5.2
49,SUV,Blue,Diesel,Yes,Yes,No,Premium,8,9.0
50,Sports,Red,Hybrid,Yes,No,Yes,Luxury,13,14.7
51,Sedan,White,Petrol,No,Yes,No,Premium,5,6.3
52,SUV,Black,Electric,Yes,Yes,No,Luxury,11,13.0
53,Sports,Yellow,Petrol,Yes,No,Yes,Sport,15,16.2
54,Sedan,Grey,Hybrid,No,Yes,No,Premium,6,7.2
55,SUV,White,Diesel,Yes,Yes,No,Standard,7,8.3
56,Sports,Blue,Electric,Yes,No,Yes,Luxury,14,15.8
57,Sedan,Black,Petrol,No,No,No,Standard,4,4.7
58,SUV,Grey,Hybrid,Yes,Yes,No,Premium,9,10.6
59,Sports,Red,Petrol,Yes,No,Yes,Sport,13,14.5
60,Sedan,Silver,Electric,No,Yes,No,Luxury,7,8.4
61,SUV,Black,Hybrid,Yes,Yes,No,Premium,8,9.4
62,Sports,Red,Petrol,Yes,No,Yes,Sport,13,14.0
63,Sedan,White,Electric,No,Yes,No,Luxury,6,7.7
64,SUV,Blue,Diesel,Yes,Yes,No,Premium,8,9.2
65,Sports,Black,Petrol,Yes,No,Yes,Sport,14,15.4
66,Sedan,Silver,Hybrid,No,Yes,No,Premium,5,6.8
67,SUV,Grey,Electric,Yes,Yes,No,Luxury,10,12.0
68,Sports,Yellow,Petrol,Yes,No,Yes,Sport,15,16.6
69,Sedan,Black,Petrol,No,No,No,Standard,4,4.9
70,SUV,White,Hybrid,Yes,Yes,No,Premium,9,10.1
71,Sports,Red,Electric,Yes,No,Yes,Luxury,15,16.9
72,Sedan,Blue,Hybrid,No,Yes,No,Premium,6,7.0
73,SUV,Black,Diesel,Yes,Yes,No,Premium,8,9.6
74,Sports,Silver,Petrol,Yes,No,Yes,Sport,12,13.3
75,Sedan,White,Electric,No,Yes,No,Luxury,7,8.7
76,SUV,Grey,Hybrid,Yes,Yes,No,Premium,9,10.7
77,Sports,Black,Petrol,Yes,No,Yes,Sport,14,15.2
78,Sedan,Silver,Petrol,No,No,No,Standard,4,5.3
79,SUV,Blue,Diesel,Yes,Yes,No,Premium,8,9.1
80,Sports,Red,Hybrid,Yes,No,Yes,Luxury,13,14.9
81,Sedan,White,Petrol,No,Yes,No,Premium,5,6.4
82,SUV,Black,Electric,Yes,Yes,No,Luxury,11,13.2
83,Sports,Yellow,Petrol,Yes,No,Yes,Sport,15,16.4
84,Sedan,Grey,Hybrid,No,Yes,No,Premium,6,7.3
85,SUV,White,Diesel,Yes,Yes,No,Standard,7,8.2
86,Sports,Blue,Electric,Yes,No,Yes,Luxury,14,16.0
87,Sedan,Black,Petrol,No,No,No,Standard,4,4.8
88,SUV,Grey,Hybrid,Yes,Yes,No,Premium,9,10.5
89,Sports,Red,Petrol,Yes,No,Yes,Sport,13,14.6
90,Sedan,Silver,Electric,No,Yes,No,Luxury,7,8.6
91,SUV,Black,Hybrid,Yes,Yes,No,Premium,8,9.5
92,Sports,Red,Petrol,Yes,No,Yes,Sport,13,14.2
93,Sedan,White,Electric,No,Yes,No,Luxury,6,7.8
94,SUV,Blue,Diesel,Yes,Yes,No,Premium,8,9.3
95,Sports,Black,Petrol,Yes,No,Yes,Sport,14,15.5
96,Sedan,Silver,Hybrid,No,Yes,No,Premium,5,6.9
97,SUV,Grey,Electric,Yes,Yes,No,Luxury,10,12.1
98,Sports,Yellow,Petrol,Yes,No,Yes,Sport,15,16.7
99,Sedan,Black,Petrol,No,No,No,Standard,4,5.1
100,SUV,White,Hybrid,Yes,Yes,No,Premium,9,10.3
101,Sports,Red,Electric,Yes,No,Yes,Luxury,15,17.0
102,Sedan,Blue,Hybrid,No,Yes,No,Premium,6,7.2
103,SUV,Black,Diesel,Yes,Yes,No,Premium,8,9.7
